name;type;sub_level;parent_id.complete_name
200mg;Optional;1;MED
400mg;Optional;1;MED
C;Optional;1;MED
D;Optional;1;MED
Module;Optional;1;MED
S.U.;Optional;1;MED
G;Optional;1;MED
H;Optional;1;MED
I;Optional;1;MED
Flexible;Optional;1;LOG
Module;Optional;1;LOG
AC;Optional;1;LOG
leather prot;Optional;1;LOG
2;Optional;1;LOG
4;Optional;1;LOG
AG;Optional;1;LOG
Electrolux;Optional;1;LOG / Programm Support / Cold chain 
AAB;Optional;1;LOG / Programm Support / Cold chain 
AAC;Optional;1;LOG / Programm Support / Cold chain 
AAD;Optional;1;LOG / Programm Support / Cold chain 
AAE;Optional;1;LOG / Programm Support / Cold chain 
AAF;Optional;1;LOG / Programm Support / Cold chain 
AAG;Optional;1;LOG / Programm Support / Cold chain 
AAH;Optional;1;LOG / Programm Support / Cold chain 
AAI;Optional;1;LOG / Programm Support / Cold chain 
No infusion;Optional;2;MED
Non sterile;Optional;2;MED
13;Optional;2;MED
14;Optional;2;MED
15;Optional;2;MED
16;Optional;2;MED
17;Optional;2;MED
18;Optional;2;MED
19;Optional;2;MED
20;Optional;2;LOG
21;Optional;2;LOG
22;Optional;2;LOG
23;Optional;2;LOG
24;Optional;2;LOG
25;Optional;2;LOG
26;Optional;2;LOG
27;Optional;2;LOG
28;Optional;2;LOG
29;Optional;2;LOG
30;Optional;2;LOG / Programm Support / Cold chain 
31;Optional;2;LOG / Programm Support / Cold chain 
32;Optional;2;LOG / Programm Support / Cold chain 
33;Optional;2;LOG / Programm Support / Cold chain 
34;Optional;2;LOG / Programm Support / Cold chain 
35;Optional;2;LOG / Programm Support / Cold chain 
