"name";"property_account_income_categ.code";"property_account_expense_categ.code";"family_id.complete_name"
"Data processing";6303;6303;"LOG / Administration / Data processing"
"Office equipment";6303;6303;"LOG / Administration / Office equipment"
"FOOD FOR MSF STAFF";6101;6101;"LOG / Administration / FOOD FOR MSF STAFF"
"Logistic stationery";6301;6301;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Furnitures";6303;6303;"LOG / Administration / Furnitures"
"Team life";6101;6101;"LOG / Administration / Team life"
"STATIONERY";6301;6301;"LOG / Administration / STATIONERY"
"Shelters";6551;6551;"LOG / Camp / Shelters"
"SEMIPERMANENT Shelter";6551;6551;"LOG / Camp / SEMIPERMANENT Shelter"
"SPARE PARTS HUDSON";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Building";6510;6510;"LOG / Camp / Building"
"Water and sanitation";6520;6520;"LOG / Camp / Water and sanitation"
"Infusions";6400;6400;"MED / Drugs / Infusions"
"Oral drugs";6400;6400;"MED / Drugs / Oral drugs"
"Vaccines";6420;6420;"MED / Drugs / Vaccines"
"Injectable drugs";6400;6400;"MED / Drugs / Injectable drugs"
"Drugs external use";6400;6400;"MED / Drugs / Drugs external use"
"Ophtalmic drugs for external use";6400;6400;"MED / Drugs / Ophtalmic drugs for external use"
"Disinfectants";6400;6400;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Diagnostic tests";6400;6400;"MED / Drugs / Diagnostic tests"
"Chemicals & Pesticides";6400;6400;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Surgical instruments for external fixator";6460;6460;"MED / Medical Equipment / Surgical instruments for external fixator"
"Training mannequins";6460;6460;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Training posters";6460;6460;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Ophtalmic surgical instruments";6460;6460;"MED / Medical Equipment / Ophtalmic surgical instruments"
"Surgical instruments";6460;6460;"MED / Medical Equipment / Surgical instruments"
"Dental surgical instruments";6460;6460;"MED / Medical Equipment / Dental surgical instruments"
"Medical equipment";6461;6461;"MED / Medical Equipment / Medical equipment"
"Laboratory equipment";6471;6471;"MED / Medical Equipment / Laboratory equipment"
"Hospital equipment";6461;6461;"MED / Medical Equipment / Hospital equipment"
"Anaesthesia";6460;6460;"MED / Medical Equipment / Anaesthesia"
"Anthropometric equipment";6461;6461;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Linen and protective clothing";6460;6460;"MED / Medical Equipment / Linen and protective clothing"
"X-RAY EQUIPMENT";6461;6461;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Sterilization";6461;6461;"MED / Medical Equipment / Sterilization"
"Programme support kits";6500;6500;"LOG / Kit / Programme support kits"
"Administration Kits";6303;6303;"LOG / Kit / Administration Kits"
"Medical kits";6401;6401;"MED / Kit / Medical kits"
"Dental instrument box";6401;6401;"To Be Defined0 / To Be Defined1 / To Be Defined2"
