default_code;xmlid_code;name;nomen_manda_0.name;nomen_manda_1.name;nomen_manda_2.name;nomen_manda_3.name;type;subtype;asset_type_id.name;transport_ok;procure_method;supply_method;cost_method;standard_price;list_price;categ_id.name;international_status.name;state.name;active;volume;weight;weight_net;perishable;batch_management;uom_id.name;uom_po_id.name;life_time;short_shelf_life;use_time;alert_time;heat_sensitive_item.code;cold_chain.code;sterilized;single_use;dangerous_goods;justification_code_id.code;med_device_class;gmdn_code;gmdn_description;closed_article;criticism;abc_class;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;section_code_ids.code;supply_source_ids.source;supply_source_ids.source;supply_source_ids.source;supply_source_ids.source
XTRA0001---;XTRA0001---;Transpot by Air;SERVICE;Services;Transport;Other;Service with reception;;;1;Make to Order;Buy;Average Price;100;;Administrative;Local;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;Local;;;
XTRA0002---;XTRA0002---;Transpot by Sea;SERVICE;Services;Transport;Other;Service with reception;;;1;Make to Order;Buy;Average Price;100;;Administrative;Local;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;Local;;;
XTRA0003---;XTRA0003---;Transpot by Road;SERVICE;Services;Transport;Other;Service with reception;;;1;Make to Order;Buy;Average Price;100;;Administrative;Local;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;Local;;;
XTRA0004---;XTRA0004---;Transpot Express;SERVICE;Services;Transport;Other;Service with reception;;;1;Make to Order;Buy;Average Price;100;;Administrative;Local;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;Local;;;
ADAPCABL1S-;ADAPCABL1S-;(computer) CABLE, SERIAL interface for two PC (fem/fem);LOG;Administration;Data processing;Cable, dataprocessing;Stockable Product;Single;;;Make to Order;Buy;Average Price;460;;Data processing;ITC;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;;;;
ADAPCABL2S-;ADAPCABL2S-;(computer) CABLE, SERIAL interface PC/Mini-M, female/male;LOG;Administration;Data processing;Cable, dataprocessing;Stockable Product;Single;;;Make to Order;Buy;Average Price;430;;Data processing;ITC;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;;;;
AFURSHELW5-;AFURSHELW5-;SHELVES, wooden, 5 plates, 200 x 150 x 50 cm (HxWxD);LOG;Administration;Furnitures;Shelve;Stockable Product;Single;;;Make to Order;Buy;Average Price;;;Furnitures;ITC;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;;;;
CWATPUMD024;CWATPUMD024;MOTOR PUMP DIESEL Lister AA1, 24 m3/h. max. 30 m max., 2';LOG;Camp;Water and sanitation;Motor Pump Diesel;Stockable Product;Single;;;Make to Order;Buy;Average Price;412;;Water and sanitation;ITC;Normal;Y;;;;;;;;;;;;;;no;no;;38 J(PME);;;;;;;;;;;;;;;;;;;
ADAPCART02-;ADAPCART02-;(printer Laserwriter ) CARTRIDGE INKING;LOG;Administration;Data processing;Cartridge;Stockable Product;Single;;;Make to Order;Buy;Average Price;180;;Data processing;ITC;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;;;;
ALIFVEST3LL;ALIFVEST3LL;VEST, polyester/cotton, polyester lined, size L;LOG;Administration;Team life;Vest;Stockable Product;Single;;;Make to Order;Buy;Average Price;28;;Team life;ITC;Normal;Y;;;;;;;;;;;;;;no;no;; ;;;;;;;;;;;;;;;;;;;
