"name";"ref";"partner_type";"zone";"po_by_project";"supplier_lt";"procurement_lt";"customer_lt";"transport_0";"transport_0_lt";"transport_1";"transport_1_lt";"customer";"supplier";"manufacturer";"lang";"address.name";"address.title.name";"address.type";"address.street";"address.street2";"address.zip";"address.city";"address.country_id.name";"category_id.complete_name";"category_id.complete_name";"category_id.complete_name";"property_account_receivable.code";"property_account_payable.code"
"Afri Farmacia";"MZAFF";"External";"International";"All requirements";7;3;;"Air";4;"Sea";;0;"X";0;"English";"C.S CHAMANCULO";"Madam";"Default";"Av. Ahmed Sekou Toure";;;"JOHANNESBURG";"South Africa";"Supplier/Medical";;;;
"AFRICA DRILLING Ltd";"ADL";"External";"International";"All requirements";4;0;;"Air";4;"Sea";;0;"X";0;"English";;;"Default";;;;"JOHANNESBURG";"South Africa";"Supplier/Logistic";;;;
"AFRO INDUSTRIES AGENCIES";"AIA";"External";"National";"All requirements";4;0;;"Road";4;"Air";;0;"X";0;"English";"Hitan Patel";"Sir";"Default";"P.O.BOX 43829";;;"NAIROBI";"Kenya";"Supplier/Medical";;;;
"ANGELICA medical supplies LTD";"AMSL";"External";"National";"All requirements";2;0;;"Air";2;"Road";10;0;"X";0;"English";;;"Default";"P.O.BOX 5001";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"Auto and electro care ltd";"AEC";"External";"National";"All requirements";2;0;;"Road";2;"Air";;0;"X";0;"English";;;"Default";"P.O.BOX 76174";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"BLUE CHIP TECHNOLOGIES LTD";"BCTL";"External";"National";"All requirements";5;3;;"Road";2;;;0;"X";0;"English";"Wilson Mungai";"Sir";"Default";"P.O.BOX 26032";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"MSF- LOGISTIQUE";"MSFL";"ESC";"International";"Requirements by project";26;5;;"Sea";21;"Air";7;0;"X";0;"English";;;"Default";"14, avenue de l'Argonne";;33700;"MERIGNAC";"France";"Supplier/Medical";"Supplier/Logistic";;;
"MSF- SUPPLY";"MSFS";"ESC";"International";"Requirements by project";26;5;;"Sea";21;"Air";7;0;"X";0;"English";;;"Default";"Preenaker 20";;1785;"MERCHTEM";"Belgium";"Supplier/Medical";"Supplier/Logistic";;;
"PACKAGING AND ALLIED";"PAKL";"External";"International";"All requirements";5;0;;"Road";5;"Air";1;0;"X";0;"English";"Chetan Solenki";"Sir";"Default";"Bamburi Road";;;"CAMPALA";"Uganda";"Supplier/Logistic";;;;
"PANALPINA WELTTRANSPORT GMBH";"PWT";"External";"International";"All requirements";2;0;;"Air";2;"Sea";14;0;"X";0;"English";;;"Default";"AMG Center UFER";;21129;"HAMBURG";"Germany";"Supplier/Service/Transport";;;;
"SPECIALISED FIBREGLASS LTD";"SPFL";"External";"National";"All requirements";3;0;;"Road";3;;;0;"X";0;"English";"Bruce Field";"Sir";"Default";"B.O.BOX 78201";;;"VIWANDAM";"Kenya";"Supplier/Logistic";;;;
"TELECA BUILDERS LTD";"TBL";"External";"International";"All requirements";10;0;;"Road";10;"Air";1;0;"X";0;"English";"M. Chana";"Sir";"Default";;;;"CAMPALA";"Uganda";"Supplier/Logistic";;;;
"Toyota east africa ltd";"TOYEA";"External";"National";"All requirements";1;0;;"Road";1;;;0;"X";0;"English";"Khalid";"Sir";"Default";"Uhuru Highway";"Lusaka road";3391;"Nairobi";"Kenya";"Supplier/Logistic";;;;
"ZEDCO RADIATOR LTD";"ZRL";"External";"International";"All requirements";2;0;;"Air";2;"Sea";14;0;"X";0;"English";;;"Default";;;;"MUSOMA";"Tanzania";"Supplier/Logistic";;;;
"UCHUMI SUPERMARKETS LIMITED";"USL";"External";"National";"All requirements";1;0;;"Road";0;;;0;"X";0;"English";;;"Default";"P.O.BOX 73167";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"TNT EXPRESS";"TNTE";"External";"National";"All requirements";1;0;;"Road";1;;;0;"X";0;"English";"Edwin Rael";"Sir";"Default";"P.O.BOX 41520";;;"UPPER HIL";;"Supplier/Service/Transport";;;;
"POWER OPTIONS LTD";"POL";"External";"National";"All requirements";2;0;;"Road";2;;;0;"X";0;"English";"James Mathenge";"Sir";"Default";"P.O.BOX 4221";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"METRO Pharmaceuticals Ltd";"MPL";"External";"National";"All requirements";5;3;;"Road";2;;;0;"X";0;"English";"Shalin";"Madam";"Default";"P.O.BIX 41658";;;"NAIROBI";"Kenya";"Supplier/Medical";;;;
"IPEET FREIGHT";"IPE";"External";"National";"All requirements";2;0;;"Road";2;;;0;"X";0;"English";"Musa Tomko";"Sir";"Default";"P.O.BIX 56";;;"NAIROBI";"Kenya";"Supplier/Service";;;;
