"name";"code";"parent_id.code";"type";"category";"activation_date";"inactivation_date";"date_start";"date"
;;;;;;;;
"Operational Centre Geneva";"OCG";"OC";"View";"OC";;;"01/01/2012";"31/12/2012"
;;;;;;;;
"Philippines Mission";"2012 PH-00";"OCG";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Philippines Manila Coordination";"2012 PH-01";"2012 PH-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Philippines floods";"2012 PH-10";"2012 PH-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Philippines Mindanao advocacy";"2012 PH-20";"2012 PH-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
;;;;;;;;
"Kenya Mission";"2012 KE-00";"OCG";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Kenya Coordination";"2012 KE-01";"2012 KE-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Kenya Somali refugee medical support";"2012 KE-10";"2012 KE-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Kenya Rift valley fever";"2012 KE-20";"2012 KE-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Kenya Kala azar";"2012 KE-30";"2012 KE-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
"Kenya Riots eldoret";"2012 KE-40";"2012 KE-00";"Normal";"OC";;;"01/01/2012";"31/12/2012"
