"product_id.name";"name.name";"sequence";"min_qty";"delay";"product_uom.name";"product_code"
"(computer) CABLE, SERIAL interface for two PC (fem/fem)";"BLUE CHIP TECHNOLOGIES LTD";1;0;5;"PCE";
"(computer) CABLE, SERIAL interface PC/Mini-M, female/male";"BLUE CHIP TECHNOLOGIES LTD";1;0;5;"PCE";
"(printer Laserwriter ) CARTRIDGE INKING";"BLUE CHIP TECHNOLOGIES LTD";1;0;5;"PCE";
"(printer Diconix 150/180 Kodak) CARTRIDGE INKING HP516604A";"BLUE CHIP TECHNOLOGIES LTD";1;0;5;"PCE";
"(printer, inkjet) INK CARTRIDGE, black (model to specify)";"BLUE CHIP TECHNOLOGIES LTD";1;0;5;"PCE";
"TEE-SHIRT (Damart), long sleeves, size L";"AFRICA DRILLING Ltd";1;0;4;"PCE";"TSHL0004"
"TEE-SHIRT (Damart), long sleeves, size M";"AFRICA DRILLING Ltd";1;0;4;"PCE";"TSHM0001"
"TEE-SHIRT (Damart), long sleeves, size XL";"AFRICA DRILLING Ltd";1;0;4;"PCE";"TSHXL002"
"TOWEL, compact, 100% viscose, 150 x 110 cm";"UCHUMI SUPERMARKETS LIMITED";1;0;1;"PCE";
"VEST, polyester/cotton, polyester lined, size L";"UCHUMI SUPERMARKETS LIMITED";1;0;1;"PCE";
"VEST, polyester/cotton, polyester lined, size M";"UCHUMI SUPERMARKETS LIMITED";1;0;1;"PCE";
"VEST, polyester/cotton, polyester lined, size XL";"UCHUMI SUPERMARKETS LIMITED";1;0;1;"PCE";
"WAREHOUSE, TENT, (Rubhall ) 10 x 30 m, aluminium frame";"MSF- LOGISTIQUE";1;1;26;"PCE";
"WAREHOUSE, TENT, (Rubhall ) 10 x 30 m, nylon, steel frame";"MSF- LOGISTIQUE";1;1;26;"PCE";
"WAREHOUSE, TENT, (Rubhall) 10 x 18 m, aluminium frame";"MSF- LOGISTIQUE";1;1;26;"PCE";
"WAREHOUSE, TENT, (Rubhall ) 10 x 18 m, nylon, steel frame";"MSF- LOGISTIQUE";1;1;26;"PCE";
"WAREHOUSE, steel structure, 9.3 x 23.8 x 4.8 m";"MSF- LOGISTIQUE";1;1;26;"PCE";
"MOTOR PUMP DIESEL Lister AA1, 24 m3/h. max. 30 m max., 2'";"POWER OPTIONS LTD";1;0;2;"PCE";
"MOTOR PUMP DIESEL, Lombardini 45 m3/h. max. 28 m max., 2'";"POWER OPTIONS LTD";1;0;2;"PCE";
"MOTOR PUMP DIESEL Robin DY23, 54 m3/h max., 27 m max., 3'";"POWER OPTIONS LTD";1;0;2;"PCE";
"MOTOR PUMP DIESEL Lombard. 15LD, 62 m3/h. max. 28 m max., 3'";"POWER OPTIONS LTD";1;0;2;"PCE";
"MOTOR PUMP DIESEL J70, engine LDA450 70M3 for15m";"POWER OPTIONS LTD";1;0;2;"PCE";
"RH NEGATIVE CONTROL, for monoclonal antibodies, 10 ml, dr.";"METRO Pharmaceuticals Ltd";1;10;5;"PCE";
"TEST BRUCELLOSIS (ROSE BENGAL), rapid, 1 test";"METRO Pharmaceuticals Ltd";1;20;5;"PCE";
"TEST, BRUCELLA IgM + BRUCELLA IgG, ser/pl/wb, rapid, 1 test";"METRO Pharmaceuticals Ltd";1;20;5;"PCE";
"(DAT test) ANTIGEN, freeze-dried, serum/whole blood, 5 ml";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"(DAT test) SERUM, CONTROL, negative";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"(DAT test) SERUM, CONTROL, positive";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"CHLORHEXIDINE 5%, solution, 1 l, bot.";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"DINOPROSTONE, 1 mg, vaginal gel, sterile";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"IODINE POVIDONE, 10%, solution, 1 l, bot.";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"AMIKACIN, 500 mg, powder, vial";"Afri Farmacia";1;10;7;"PCE";
"AMPICILLIN, 1 g, powder, vial";"Afri Farmacia";1;10;7;"PCE";
"CEFAZOLIN, 1 g, (IV), powder, vial";"Afri Farmacia";1;1;7;"PCE";
"CHLORPROMAZINE, 25 mg/ml, 2 ml, amp.";"Afri Farmacia";1;1;7;"PCE";
"CHLORAMPHENICOL, 1 g powder, vial";"Afri Farmacia";1;1;7;"PCE";
"KIT, SURVIVAL, explo/evacuation, 2 persons/3 days";"MSF- SUPPLY";1;1;26;"PCE";
"KIT, LIFE, TEAM, installation, 8 persons/5 days";"MSF- SUPPLY";1;1;26;"PCE";
"(module administration) MSF INTRODUCTION";"MSF- SUPPLY";1;1;26;"PCE";
"(module administration) INTERNATIONAL STANDARD FORMS";"MSF- SUPPLY";1;1;26;"PCE";
"(module team life, 8 pers.) BEDDING EQUIPMENT";"MSF- SUPPLY";1;1;26;"PCE";
"(module team life, 8 pers.) COOKING EQUIPMENT";"MSF- SUPPLY";1;1;26;"PCE";
"(module team life, 8 pers.) FOOD/HYGIENE for 5 days";"MSF- SUPPLY";1;1;26;"PCE";
"(module life, team 8 persons) COOKING EQUIPMENT";"MSF- SUPPLY";1;1;26;"PCE";
"ARTEMETHER 20mg / LUMEFANTRINE 120mg, blist inf 6 disp.tab";"METRO Pharmaceuticals Ltd";1;10;5;"PCE";
"ARTEMETHER 20mg / LUMEFANTRINE 120mg, blist child 2x6 disp.t";"METRO Pharmaceuticals Ltd";1;20;5;"PCE";
"ALUMINIUM hydroxide, 500 mg, tab.";"METRO Pharmaceuticals Ltd";1;20;5;"PCE";
"ATOVAQUONE 62.5 mg / PROGUANIL hydrochloride 25 mg, tab.";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"ASCORBIC acid (vitamin C), 500 mg, tab.";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
"ARTESUNATE 3x50mg + SULFADOX/PYRIM 500/25mg, 1-6 y coblister";"METRO Pharmaceuticals Ltd";1;1;5;"PCE";
