active,comment,id,group_ids
TRUE,,sd.BAR_accountview_account_period_tree_accountaction_account_period_close,"Fin_Config_Full,Fin_Config_HQ,Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_tree_button_confirm_bank,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_form2_button_open,"Fin_Cash_Registers,Fin_Cash_Responsible_Access"
TRUE,,sd.BAR_accountinvoice_supplier_form_invoice_cancel,"Fin_Supplier_Invoices,Fin_Invoicing_Advanced"
TRUE,,sd.BAR_accountinvoice_form_invoice_cancel,"Fin_Supplier_Invoices,Fin_Invoicing_Advanced"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_confirm_closing_bank_balance,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_open_bank,Fin_Bnk_Chk_Registers
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_confirm_bank,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_confirm_closing_balance,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_open_cash,"Fin_Cash_Registers,Fin_Cash_Responsible_Access"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_confirm_cash,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_tree_button_open_bank,Fin_Bnk_Chk_Registers
TRUE,,sd.BAR_register_accountingview_cash_statement_tree_button_confirm_cash,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_confirm_cheque,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingview_cheque_register_tree_button_confirm_cheque,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingwizard_hard_posting_form1_action_confirm_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginvoice_supplier_form_2_invoice_open,Fin_Supplier_Invoices_Validation
TRUE,,sd.BAR_register_accountinginvoice_tree_2_invoice_open,Fin_Supplier_Invoices_Validation
TRUE,,sd.BAR_account_subscriptionaccount_move_line_recurring_entries_to_validate_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_correctionsinherit_view_move_line_tree_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_move_line_mcdb_search_result_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_analytic_line_mcdb_search_result_button_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_analytic_line_default_button_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbview_move_line_tree_from_move_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_accountview_account_period_tree_accountaction_account_period_close,"Fin_Config_Full,Fin_Config_Project,Fin_Config_Coordo"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_mission,"Fin_Config_Full,Fin_Config_Coordo"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_field,"Fin_Config_Coordo,Fin_Config_Full,Fin_Config_Project"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_hq,Fin_Config_Full
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_reopen_field,"Fin_Config_Full,Fin_Config_Coordo"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_tree_action_reopen_field,"Fin_Config_Full,Fin_Config_Coordo"
TRUE,,sd.BAR_msf_budgetmsf_budget_view_form_validate,"Fin_Config_Project,Fin_Config_Coordo"
TRUE,,sd.BAR_accountview_account_invoice_refund_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_supplier_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_debit_note_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideinherit_invoice_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_register_accountingview_direct_invoice_refund_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_register_accountinginvoice_supplier_form_2_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_field_reopen,Fin_Config_Full
TRUE,,sd.BAR_msf_budgetmsf_budget_view_tree_unlink,Fin_Budget
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_mission,"Fin_Config_Full,Fin_Config_Coordo,Fin_Config_HQ"
TRUE,,sd.BAR_account_period_closing_levelview_account_fiscalyear_level_form_btn_hq_close,"Fin_Config_Full,Fin_Config_Coordo,Fin_Config_HQ"
TRUE,,sd.BAR_stockview_stock_move_track_wizard_track_lines,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_stock_move_consume_wizard_do_move_consume,"Sup_Consumption_Management,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_stock_move_scrap_wizard_move_scrap,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_change_product_quantity_change_product_qty,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_stock_location_product_action_open_window,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_tracking_form_action_traceability,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_production_lot_form_action_traceability,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Store_Keeper"
TRUE,,sd.BAR_stockstock_move_tree_action_done,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockvpicktree_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_action_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_action_confirm,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_cancel_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_draft_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_action_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_form_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_picking_out_tree_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_stockaction_partial_move_server,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_action_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_action_confirm,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_cancel_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_draft_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_action_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_stockact_stock_return_picking,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_out_form_stockaction_stock_invoice_onshipping,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_tree_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_tree_button_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_action_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_force_assign,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_cancel_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_draft_force_assign,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_action_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_action_process,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_picking_in_form_stockaction_stock_invoice_onshipping,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_stockmove_scrap,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_stocktrack_line,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_setlast_tracking,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_stocksplit_into,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_action_done,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_move_form_stockmove_scrap,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_stocksplit_into,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_stocktrack_line,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_action_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_action_confirm,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator,Sup_Consumption_Management"
TRUE,,sd.BAR_stockview_move_form_action_done,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_stockmove_scrap,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_stocktrack_line,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_setlast_tracking,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_stocksplit_into,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_action_assign,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_stockaction_partial_move_server,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_tree_reception_picking_board_action_done,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_stockmove_scrap,"Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_stocksplit_into,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_stocktrack_line,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_action_cancel,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_action_confirm,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_force_assign,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_move_form_reception_picking_stockaction_partial_move_server,"Sup_Store_Keeper,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_stockview_product_standard_price_form_stockaction_view_change_standard_price,"Sup_Product_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_procurementview_make_procurment_wizard_make_procurement,"Sup_Purchase_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_procurementview_compute_procurment_wizard_procure_calculation,"Sup_Purchase_Officer,Sup_Purchase_Manager,Sup_Warehouse_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_procurementview_procurement_compute_wizard_procure_calculation,"Sup_Supply_System_Administrator,Sup_Purchase_Officer,Sup_Purchase_Manager,Sup_Warehouse_Manager"
TRUE,,sd.BAR_procurementview_compute_schedulers_wizard_procure_calculation,"Sup_Supply_System_Administrator,Sup_Purchase_Officer,Sup_Purchase_Manager,Sup_Warehouse_Manager"
TRUE,,sd.BAR_procurementprocurement_form_view_button_cancel,"Sup_Purchase_Officer,Sup_Purchase_Manager,Sup_Supply_System_Administrator"
TRUE,,sd.BAR_procurementprocurement_form_view_button_confirm,"Sup_Purchase_Officer,Sup_Purchase_Manager,Sup_Supply_System_Administrator"
