field_access_rule,field/id,write_access,value_not_synchronized_on_write,value_not_synchronized_on_create,id
PO Coordo,product.field_product_product_active,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/1
PO Coordo,purchase_allocation_report.field_purchase_order_allocation_report_lines,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/2
PO Coordo,purchase_override.field_purchase_order_allocation_setup,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/3
PO Coordo,sale.field_sale_order_amount_tax,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/4
PO Coordo,sale.field_sale_order_amount_total,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/5
PO Coordo,sale.field_sale_order_amount_untaxed,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/6
PO Coordo,analytic_distribution_supply.field_sale_order_analytic_distribution_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/7
PO Coordo,msf_order_date.field_sale_order_arrival_date,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/8
PO Coordo,sale_override.field_sale_order_categ,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/9
PO Coordo,analytic_distribution_supply.field_purchase_order_commitment_ids,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/10
PO Coordo,product.field_product_template_company_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/11
PO Coordo,msf_order_date.field_sale_order_confirmed_date_by_synchro,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/12
PO Coordo,purchase.field_purchase_order_create_uid,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/13
PO Coordo,msf_cross_docking.field_purchase_order_cross_docking_ok,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/14
PO Coordo,product_attributes.field_product_product_currency_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/15
PO Coordo,sourcing.field_purchase_order_customer_id,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/16
PO Coordo,purchase.field_purchase_order_date_approve,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/17
PO Coordo,sale.field_sale_order_date_confirm,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/18
PO Coordo,msf_order_date.field_sale_order_delivery_confirmed_date,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/19
PO Coordo,msf_order_date.field_sale_order_delivery_requested_date,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/20
PO Coordo,purchase.field_purchase_order_dest_address_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/21
PO Coordo,purchase_override.field_purchase_order_dest_partner_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/22
PO Coordo,sale_override.field_sale_order_details,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/23
PO Coordo,transport_mgmt.field_purchase_order_display_intl_transport_ok,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/24
PO Coordo,register_accounting.field_purchase_order_down_payment_filter,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/25
PO Coordo,register_accounting.field_purchase_order_down_payment_ids,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/26
PO Coordo,msf_order_date.field_sale_order_est_transport_lead_time,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/27
PO Coordo,sale.field_sale_order_fiscal_position,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/28
PO Coordo,sync_so.field_purchase_order_from_sync,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/29
PO Coordo,sale_override.field_sale_order_from_yml_test,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/30
PO Coordo,transport_mgmt.field_purchase_order_func_total_price_include_transport,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/31
PO Coordo,res_currency_functional.field_sale_order_functional_amount_tax,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/32
PO Coordo,res_currency_functional.field_sale_order_functional_amount_total,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/33
PO Coordo,res_currency_functional.field_sale_order_functional_amount_untaxed,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/34
PO Coordo,res_currency_functional.field_sale_order_functional_currency_id,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/35
PO Coordo,msf_doc_import.field_sale_order_import_in_progress,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/36
PO Coordo,transport_mgmt.field_purchase_order_incoterm_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/37
PO Coordo,msf_order_date.field_sale_order_internal_type,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/38
PO Coordo,transport_mgmt.field_purchase_order_intl_supplier_ok,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/39
PO Coordo,purchase_override.field_purchase_order_invoice_address_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/40
PO Coordo,sale.field_sale_order_invoice_ids,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/41
PO Coordo,purchase.field_purchase_order_invoice_method,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/42
PO Coordo,sale.field_sale_order_invoiced,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/43
PO Coordo,sale.field_sale_order_invoiced_rate,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/44
PO Coordo,sale_override.field_sale_order_is_a_counterpart,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/45
PO Coordo,sale_override.field_sale_order_loan_duration,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/46
PO Coordo,sale_override.field_sale_order_loan_id,FALSE,FALSE,FALSE,msf_profile/field_access_rule_line/47
PO Coordo,stock.field_product_product_location_id,TRUE,FALSE,FALSE,msf_profile/field_access_rule_line/48
