user_type,accrual_account,activation_date,code,default_destination_id/id,inactivation_date,type,name,note,type_for_register,reconcile,parent_id,is_not_hq_correctible,shrink_entries_for_hq
View,FALSE,1-Nov-13,MSF,,,View,MSF Chart of Accounts,,None,FALSE,,FALSE,FALSE
View,FALSE,1-Nov-13,1,,,View,Current Assets,,None,FALSE,MSF,FALSE,FALSE
View,FALSE,1-Nov-13,10,,,View,Cash and cash equivalents,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,101,,,View,Cash on hand,,None,FALSE,10,FALSE,FALSE
Cash,FALSE,1-Nov-13,10100,,,Liquidity,Cash on hand,,None,FALSE,101,FALSE,TRUE
View,FALSE,1-Nov-13,102,,,View,Cash at Bank,,None,FALSE,10,FALSE,FALSE
Cash,FALSE,1-Nov-13,10200,,,Liquidity,Cash at Bank,,None,FALSE,102,FALSE,TRUE
Cash,FALSE,1-Nov-13,10210,,,Liquidity,Outstanding checks,,None,TRUE,102,FALSE,TRUE
View,FALSE,1-Nov-13,11,,,View,Financial assets,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,110,,,View,Guarantee and  Deposits,,None,FALSE,11,FALSE,FALSE
Asset,FALSE,1-Nov-13,11000,,,Regular,Guarantee and  Deposits,,None,TRUE,110,FALSE,FALSE
View,FALSE,1-Nov-13,12,,,View,Accounts receivable,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,120,,,View,Receivables,,None,FALSE,12,FALSE,FALSE
Receivables,TRUE,1-Nov-13,12000,,,Receivable,Receivable from other missions,,None,TRUE,120,FALSE,TRUE
Receivables,TRUE,1-Nov-13,12010,,,Receivable,Receivable from other sections,,None,TRUE,120,FALSE,TRUE
Cash,TRUE,1-Nov-13,12011,,,Receivable,Expenses re-invoice to other sections,,None,TRUE,120,FALSE,TRUE
Tax,TRUE,1-Nov-13,12020,,,Receivable,VAT recoverable,,None,TRUE,120,FALSE,TRUE
Receivables,TRUE,1-Nov-13,12030,,,Receivable,Taxes receivables,,None,TRUE,120,FALSE,TRUE
Receivables,TRUE,1-Nov-13,12040,,,Receivable,Social security receivable,,None,TRUE,120,FALSE,TRUE
Receivables,TRUE,1-Nov-13,12050,,,Receivable,Other receivables,,None,TRUE,120,FALSE,TRUE
View,FALSE,1-Nov-13,129,,,View,Depreciation on receivables,,None,FALSE,12,FALSE,FALSE
Receivables,TRUE,1-Nov-13,12990,,,Receivable,Depreciation on receivables,,None,TRUE,129,FALSE,TRUE
View,FALSE,1-Nov-13,13,,,View,Advances and Prepayment,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,130,,,View,Internal advances,,None,FALSE,13,FALSE,FALSE
Receivables,FALSE,1-Nov-13,13000,,,Receivable,Operating advances,,Operational Advance,TRUE,130,FALSE,TRUE
Receivables,FALSE,1-Nov-13,13010,,,Receivable,Security envelopes  ,,Operational Advance,TRUE,130,FALSE,TRUE
View,FALSE,1-Nov-13,131,,,View,Advances done to third parties,,None,FALSE,13,FALSE,FALSE
Receivables,FALSE,1-Nov-13,13100,,,Receivable,Advances done to third parties,,Down payment,TRUE,131,FALSE,TRUE
Receivables,FALSE,1-Nov-13,4203,,,Receivable,Advances with suppliers and various,,Down payment,TRUE,131,FALSE,TRUE
View,FALSE,1-Nov-13,132,,,View,Advances to personal,,None,FALSE,13,FALSE,FALSE
Receivables,FALSE,1-Nov-13,13200,,,Receivable,Advances on salaries of expatriates,,None,TRUE,132,FALSE,TRUE
Receivables,FALSE,1-Nov-13,13210,,,Receivable,Advances on salaries of national staff,,Third party required - Payroll,TRUE,132,FALSE,TRUE
Receivables,FALSE,1-Nov-13,4202,,,Receivable,Advance to the staff,,Third party required - Payroll,TRUE,132,FALSE,TRUE
View,FALSE,1-Nov-13,133,,,View,Prepaid expenses,,None,FALSE,13,FALSE,FALSE
Receivables,FALSE,1-Nov-13,13300,,,Receivable,Prepaid expenses rentals,,None,TRUE,133,FALSE,TRUE
Receivables,FALSE,1-Nov-13,13310,,,Receivable,Prepaid expenses insurances,,None,TRUE,133,FALSE,TRUE
Receivables,FALSE,1-Nov-13,13320,,,Receivable,Other prepaid expenses,,None,TRUE,133,FALSE,TRUE
View,FALSE,1-Nov-13,134,,,View,Prepayment - goods not yet allocated to a project,,None,FALSE,13,FALSE,FALSE
Receivables,FALSE,1-Nov-13,13400,,,Receivable,Goods not yet allocated to a project,,None,TRUE,134,FALSE,TRUE
View,FALSE,1-Nov-13,14,,,View,Suspense accounts,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,140,,,View,Non-monetary ,,None,FALSE,14,FALSE,FALSE
Cash,FALSE,1-Nov-13,14000,,,Regular,Advances to HQ departments  ,,None,TRUE,140,FALSE,TRUE
Cash,FALSE,1-Nov-13,14010,,,Regular,Advances or expenses for other missions,,None,TRUE,140,FALSE,TRUE
Cash,FALSE,1-Nov-13,14020,,,Regular,Advances and expenses for other MSF section,,None,TRUE,140,FALSE,TRUE
Cash,FALSE,1-Nov-13,14030,,,Regular,Advances and expenses for other NGO,,None,TRUE,140,FALSE,TRUE
Cash,FALSE,1-Nov-13,14040,,,Regular,Locally received grant payments,,None,TRUE,140,FALSE,TRUE
View,FALSE,1-Nov-13,141,,,View,Monetary,,None,FALSE,14,FALSE,FALSE
Cash,FALSE,1-Nov-13,14100,,,Regular,Bank transfer with HQ ,,None,TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14110,,,Regular,Cash transfer with HQ,,None,TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14120,,,Regular,Internal transfer same currency,,Internal Transfer (same currency),TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14130,,,Regular,Internal transfer with currency exchange,,Internal Transfer,TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14140,,,Regular,Transfer to another financial mission: Same section,,None,TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14150,,,Regular,Transfer to another financial mission: Other section,,None,TRUE,141,FALSE,TRUE
Cash,FALSE,1-Nov-13,14160,,,Regular,Others,,None,TRUE,141,FALSE,TRUE
View,FALSE,1-Nov-13,15,,,View,Inventory,,None,FALSE,1,FALSE,FALSE
View,FALSE,1-Nov-13,150,,,View,Medical inventory,,None,FALSE,15,FALSE,FALSE
Stock,FALSE,1-Nov-13,15000,,,Regular,Medical inventory,,None,FALSE,150,FALSE,FALSE
View,FALSE,1-Nov-13,151,,,View,Non-medical inventory,,None,FALSE,15,FALSE,FALSE
Stock,FALSE,1-Nov-13,15100,,,Regular,Non-medical inventory,,None,FALSE,151,FALSE,FALSE
View,FALSE,1-Nov-13,152,,,View,Other inventories,,None,FALSE,15,FALSE,FALSE
Stock,FALSE,1-Nov-13,15200,,,Regular,Other Inventory,,None,FALSE,152,FALSE,FALSE
View,FALSE,1-Nov-13,153,,,View,Stock Transfers,,None,FALSE,15,FALSE,FALSE
Stock,FALSE,1-Nov-13,15300,,,Regular,Stock transfers between missions,,None,FALSE,153,FALSE,FALSE
Stock,FALSE,1-Nov-13,15310,,,Regular,Stock transfers between sections,,None,FALSE,153,FALSE,FALSE
Stock,FALSE,1-Nov-13,15320,,,Regular,Stock in transit,,None,FALSE,153,FALSE,FALSE
View,FALSE,1-Nov-13,159,,,View,Depreciation on inventory,,None,FALSE,15,FALSE,FALSE
Stock,TRUE,1-Nov-13,15910,,,Regular,Depreciation on medical inventory,,None,FALSE,159,FALSE,FALSE
Stock,TRUE,1-Nov-13,15920,,,Regular,Depreciation on non-medical inventory,,None,FALSE,159,FALSE,FALSE
Stock,TRUE,1-Nov-13,15930,,,Regular,Depreciation on other inventory,,None,FALSE,159,FALSE,FALSE
View,FALSE,1-Nov-13,2,,,View,Non-Current Assets,,None,FALSE,MSF,FALSE,FALSE
View,FALSE,1-Nov-13,20,,,View,"Property, plant and equipment",,None,FALSE,2,FALSE,FALSE
View,FALSE,1-Nov-13,200,,,View,Land,,None,FALSE,20,FALSE,FALSE
Asset,FALSE,1-Nov-13,20000,,,Regular,Land,,None,FALSE,200,FALSE,FALSE
View,FALSE,1-Nov-13,201,,,View,Buildings,,None,FALSE,20,FALSE,FALSE
Asset,FALSE,1-Nov-13,20100,,,Regular,Buildings,,None,FALSE,201,FALSE,FALSE
View,FALSE,1-Nov-13,202,,,View,Medical equipment,,None,FALSE,20,FALSE,FALSE
Asset,FALSE,1-Nov-13,20200,,,Regular,Medical equipment,,None,FALSE,202,FALSE,FALSE
