name,code,category,parent_id,type
MALAWI MISSION,MW1,Cost Center,OC,View
MW COORDINATION,MW101,Cost Center,MALAWI MISSION,Normal
MW THYOLO HIV / AIDS,MW102,Cost Center,MALAWI MISSION,Normal
MW EPREP,MW107,Cost Center,MALAWI MISSION,Normal
MW ZONAL MENTORSHIP,MW109,Cost Center,MALAWI MISSION,Normal
BURUNDI MISSION,BI1,Cost Center,OC,View
BI COORDINATION,BI101,Cost Center,BURUNDI MISSION,Normal
BI EPREP,BI120,Cost Center,BURUNDI MISSION,Normal
BI CURGO,BI133,Cost Center,BURUNDI MISSION,Normal
BI FISTULES,BI134,Cost Center,BURUNDI MISSION,Normal
BI EXPLO MALARIA,BI140,Cost Center,BURUNDI MISSION,Normal
BI ASSOCIATIF,BI196,Cost Center,BURUNDI MISSION,Normal
BI DEPENSES BRUXELS,BI199,Cost Center,BURUNDI MISSION,Normal
