type,property_account_expense_categ/code,property_account_income_categ/code,name,property_stock_journal,donation_expense_account,family_id,msfid
Normal,61150,61150,DATA PROCESSING,,91100,LOG-A-ADAP,ADAP
Normal,61020,61020,FOOD FOR MSF STAFF,,,LOG-A-AFOO,AFOO
Normal,61170,61170,FURNITURES,,91100,LOG-A-AFUR,AFUR
Normal,61030,61030,TEAM LIFE,,,LOG-A-ALIF,ALIF
Normal,61220,61220,LOGISTIC STATIONERY,,91100,LOG-A-ALST,ALST
Normal,61220,61220,OFFICE EQUIPMENT,,91100,LOG-A-AOFF,AOFF
Normal,61220,61220,STATIONERY,,91100,LOG-A-ASTA,ASTA
Normal,61000,61000,BUILDING,,91100,LOG-C-CBUI,CBUI
Normal,61040,61040,SEMIPERMANENT SHELTER,,91100,LOG-C-CSEM,CSEM
Normal,61130,61130,SHELTERS,,91100,LOG-C-CSHE,CSHE
Normal,61010,61010,WATER AND SANITATION,,91100,LOG-C-CWAT,CWAT
Normal,61110,61110,SPARE PARTS HAYWARD,,91100,LOG-C-CXHA,CXHA
Normal,60200,60200,DIAGNOSTIC TESTS,,91000,MED-D-DDGT,DDGT
Normal,60000,60000,DISINFECTANTS,,91000,MED-D-DDIS,DDIS
Normal,60000,60000,OPHTALMIC DRUGS FOR EXTERNAL USE,,91000,MED-D-DEXO,DEXO
Normal,60000,60000,DRUGS EXTERNAL USE,,91000,MED-D-DEXT,DEXT
Normal,60000,60000,INFUSIONS,,91000,MED-D-DINF,DINF
Normal,60000,60000,INJECTABLE DRUGS,,91000,MED-D-DINJ,DINJ
Normal,60000,60000,ORAL DRUGS,,91000,MED-D-DORA,DORA
Normal,60010,60010,VACCINES,,91000,MED-D-DVAC,DVAC
Normal,60100,60100,ANAESTHESIA,,91000,MED-E-EANE,EANE
Normal,60100,60100,ANTHROPOMETRIC EQUIPMENT,,91000,MED-E-EANT,EANT
Normal,60100,60100,DIAGNOSTIC IMAGING EQUIPMENT,,91000,MED-E-EDIM,EDIM
Normal,60100,60100,HOSPITAL EQUIPMENT,,91000,MED-E-EHOE,EHOE
Normal,60110,60110,LABORATORY EQUIPMENT,,91000,MED-E-ELAE,ELAE
Normal,60210,60210,LINEN AND PROTECTIVE CLOTHING,,91000,MED-E-ELIN,ELIN
Normal,60210,60210,MEDICAL EQUIPMENT,,91000,MED-E-EMEQ,EMEQ
