level,name,type,parent_id,msfid
0,LIB,Mandatory,,LIB
0,LOG,Mandatory,,LOG
0,MED,Mandatory,,MED
0,SRV,Mandatory,,SRV
1,A - Administration,Mandatory,LOG,LOG-A
1,C - Camp,Mandatory,LOG,LOG-C
1,D - Drugs,Mandatory,MED,MED-D
1,E - Medical Equipment,Mandatory,MED,MED-E
1,I - Inventory lists / checklists,Mandatory,MED,MED-I
1,K - Lib Kits,Mandatory,LIB,LIB-K
1,K - Log Kits,Mandatory,LOG,LOG-K
1,K - Med Kits,Mandatory,MED,MED-K
1,L - Library,Mandatory,LIB,LIB-L
1,N - Nutrition,Mandatory,MED,MED-N
1,P - Program support,Mandatory,LOG,LOG-P
1,S - Medical renewable supplies,Mandatory,MED,MED-S
1,T - Transport,Mandatory,LOG,LOG-T
1,X - Services,Mandatory,SRV,SRV-X
2,ADAP - Data Processing,Mandatory,LOG-A,LOG-A-ADAP
2,AFOO - Food For Msf Staff,Mandatory,LOG-A,LOG-A-AFOO
2,AFUR - Furnitures,Mandatory,LOG-A,LOG-A-AFUR
2,ALIF - Team Life,Mandatory,LOG-A,LOG-A-ALIF
2,ALST - Logistic Stationery,Mandatory,LOG-A,LOG-A-ALST
2,AOFF - Office Equipment,Mandatory,LOG-A,LOG-A-AOFF
2,ASTA - Stationery,Mandatory,LOG-A,LOG-A-ASTA
2,CBUI - Building,Mandatory,LOG-C,LOG-C-CBUI
2,CSEM - Semipermanent Shelter,Mandatory,LOG-C,LOG-C-CSEM
2,CSHE - Shelters,Mandatory,LOG-C,LOG-C-CSHE
2,CWAT - Water And Sanitation,Mandatory,LOG-C,LOG-C-CWAT
2,CXHA - Spare Parts Hayward,Mandatory,LOG-C,LOG-C-CXHA
2,DDGT - Diagnostic tests,Mandatory,MED-D,MED-D-DDGT
2,DDIS - Disinfectants,Mandatory,MED-D,MED-D-DDIS
2,DEXO - Ophtalmic Drugs For External Use,Mandatory,MED-D,MED-D-DEXO
2,DEXT - Drugs External Use,Mandatory,MED-D,MED-D-DEXT
2,DINF - Infusions,Mandatory,MED-D,MED-D-DINF
2,DINJ - Injectable Drugs,Mandatory,MED-D,MED-D-DINJ
2,DORA - Oral Drugs,Mandatory,MED-D,MED-D-DORA
2,DVAC - Vaccines,Mandatory,MED-D,MED-D-DVAC
2,EANE - Anaesthesia,Mandatory,MED-E,MED-E-EANE
2,EANT - Anthropometric Equipment,Mandatory,MED-E,MED-E-EANT
2,EDIM - Diagnostic Imaging equipment,Mandatory,MED-E,MED-E-EDIM
2,EHOE - Hospital Equipment,Mandatory,MED-E,MED-E-EHOE
2,ELAE - Laboratory Equipment,Mandatory,MED-E,MED-E-ELAE
2,ELIN - Linen And Protective Clothing,Mandatory,MED-E,MED-E-ELIN
2,EMEQ - Medical Equipment,Mandatory,MED-E,MED-E-EMEQ
2,EPHY - Physiotherapy equipment,Mandatory,MED-E,MED-E-EPHY
