default_code;name;xmlid_code;old_code;type;transport_ok;subtype;asset_type_id.name;procure_method;supply_method;standard_price;volume;weight;international_status.name;state.name;active;perishable;batch_management;uom_id.name;uom_po_id.name;nomen_manda_0.name;nomen_manda_1.name;nomen_manda_2.name;nomen_manda_3.name;life_time;use_time;short_shelf_life;alert_time;heat_sensitive_item.code;cold_chain;sterilized;single_use;narcotic;justification_code_id.id;closed_article;restricted_country;country_restriction;dangerous_goods;un_code;criticism;abc_class;product_catalog_path;description;description2;description_sale;description_purchase;procure_delay;property_account_income.code;property_account_expense.code;state.code;state_ud
ADAPMOUSOUS;MOUSE, optical, USB port;ADAPMOUSOUS;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;7.14;2.7;0.32;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;MOUS - Mouse;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCOLALON;(laptop computer) LOCK, with numbers, Kensington slot;ADAPCOLALON;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;32.5;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;COLA - Laptop computer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCARTIBL;(printer, inkjet) INK CARTRIDGE, black (model to specify);ADAPCARTIBL;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;10.2;0.273;0.07;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;CART - Printer cartridge;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPKBDQUSB;KEYBOARD, QWERTY, external, USB;ADAPKBDQUSB;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;14.28;2.58;0.88;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;KBDQ - Keyboard QWERTY;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPMEMK1--;MEMORY KEY, USB;ADAPMEMK1--;ADAPMEMKL--;Stockable Product;FALSE;Single Item;;Make to Order;Buy;36.28;0.2;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;MEMK - USB memory key;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPHUBU01-;HUB, USB, 4 ports, with cable;ADAPHUBU01-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;15.923333;1.6391;0.26;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;HUBU - USB hub;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPDCDRB--;DISK, CD-R (recordable), data, cakebox of 25;ADAPDCDRB--;ADAPDCDR---;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.3216;0.0392;0.018;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;DCDR - CD-R;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPDCDRC--;DISK, CD-R (recordable), data, with case;ADAPDCDRC--;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.899;2.7776;0.93;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;DCDR - CD-R;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPPRINSB2;(printer) SWITCH BOX passive, 2 outlets to 1 printer;ADAPPRINSB2;ADAPSWIT02-;Stockable Product;FALSE;Single Item;;Make to Order;Buy;19.15;0.99;0.35;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;PRIN - Printer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPDVDRC--;DISK, DVD-R (recordable), data, with case;ADAPDVDRC--;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.9476;0.1968;0.092;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;DVDR - DVD, recordable;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
