id,level,name,type,parent_id
nom_1,0,LIB,Mandatory,
nom_2,0,SRV,Mandatory,
nom_2_2,0,LOG,Mandatory,
nom_3,1,A - Administration,Mandatory,LOG
nom_4,1,C - Camp,Mandatory,LOG
nom_5,1,D - Drugs,Mandatory,MED
nom_6,1,E - Medical Equipment,Mandatory,MED
nom_7,1,I - Inventory lists / checklists,Mandatory,MED
nom_8,1,K - Lib Kits,Mandatory,LIB
nom_9,1,K - Log Kits,Mandatory,LOG
nom_10,1,K - Med Kits,Mandatory,MED
nom_11,1,L - Library,Mandatory,LIB
nom_12,1,N - Nutrition,Mandatory,MED
nom_13,1,P - Program support,Mandatory,LOG
nom_14,1,S - Medical renewable supplies,Mandatory,MED
nom_15,1,T - Transport,Mandatory,LOG
nom_16,1,X - Services,Mandatory,SRV
nom_17,2,ADAP - Data Processing,Mandatory,A - Administration
nom_18,2,AFOO - Food For Msf Staff,Mandatory,A - Administration
nom_19,2,AFUR - Furnitures,Mandatory,A - Administration
nom_20,2,ALIF - Team Life,Mandatory,A - Administration
nom_21,2,ALST - Logistic Stationery,Mandatory,A - Administration
nom_22,2,AOFF - Office Equipment,Mandatory,A - Administration
nom_23,2,ASTA - Stationery,Mandatory,A - Administration
nom_24,2,CBUI - Building,Mandatory,C - Camp
nom_25,2,CSEM - Semipermanent Shelter,Mandatory,C - Camp
nom_26,2,CSHE - Shelters,Mandatory,C - Camp
nom_27,2,CWAT - Water And Sanitation,Mandatory,C - Camp
nom_28,2,CXHA - Spare Parts Hayward,Mandatory,C - Camp
nom_29,2,DDGT - Diagnostic tests,Mandatory,D - Drugs
nom_30,2,DDIS - Disinfectants,Mandatory,D - Drugs
nom_31,2,DEXO - Ophtalmic Drugs For External Use,Mandatory,D - Drugs
nom_32,2,DEXT - Drugs External Use,Mandatory,D - Drugs
nom_33,2,DINF - Infusions,Mandatory,D - Drugs
nom_34,2,DINJ - Injectable Drugs,Mandatory,D - Drugs
nom_35,2,DORA - Oral Drugs,Mandatory,D - Drugs
nom_36,2,DVAC - Vaccines,Mandatory,D - Drugs
nom_37,2,EANE - Anaesthesia,Mandatory,E - Medical Equipment
nom_38,2,EANT - Anthropometric Equipment,Mandatory,E - Medical Equipment
nom_39,2,EDIM - Diagnostic Imaging equipment,Mandatory,E - Medical Equipment
nom_40,2,EHOE - Hospital Equipment,Mandatory,E - Medical Equipment
nom_41,2,ELAE - Laboratory Equipment,Mandatory,E - Medical Equipment
nom_42,2,ELIN - Linen And Protective Clothing,Mandatory,E - Medical Equipment
nom_43,2,EMEQ - Medical Equipment,Mandatory,E - Medical Equipment
nom_44,2,EPHY - Physiotherapy equipment,Mandatory,E - Medical Equipment
nom_45,2,EPSY - Equipment for psychological support,Mandatory,E - Medical Equipment
nom_46,2,ESIG - NAIL of SIGN material,Mandatory,E - Medical Equipment
nom_47,2,ESTE - Sterilization,Mandatory,E - Medical Equipment
nom_48,2,ESTR - Stryker material for internal fixation,Mandatory,E - Medical Equipment
nom_49,2,ESUD - Dental Surgical Instruments,Mandatory,E - Medical Equipment
nom_50,2,ESUF - Surgical Instruments For External Fixator,Mandatory,E - Medical Equipment
nom_51,2,ESUO - Ophtalmic Surgical Instruments,Mandatory,E - Medical Equipment
nom_52,2,ESUR - Surgical Instruments,Mandatory,E - Medical Equipment
nom_53,2,ETMA - Training Mannequins,Mandatory,E - Medical Equipment
nom_54,2,ETPO - Training Posters,Mandatory,E - Medical Equipment
