"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_acount_invoice_partner","iller.account.invoice.partner","account.model_account_invoice","base.group_user",1,0,0,0
"access_account_fiscalyear_partner","iller.account.fiscalyear.partner","account.model_account_fiscalyear","base.group_user",1,0,0,0
"access_acount_invoice_partner_compta","iller.account.invoice.partner.compta","account.model_account_invoice","account.group_account_manager",1,1,1,1
"access_account_fiscalyear_partner_compta","iller.account.fiscalyear.partner.compta","account.model_account_fiscalyear","account.group_account_manager",1,1,1,1
"access_acount_invoice_partner_distri","iller.account.invoice.partner.distri","account.model_account_invoice","iller_groups.group_distri",1,1,1,1
"access_account_fiscalyear_partner_distri","iller.account.fiscalyear.partner.distri","account.model_account_fiscalyear","iller_groups.group_distri",1,1,1,1
"access_acount_invoice_partner_achpro","iller.account.invoice.partner.achpro","account.model_account_invoice","purchase.group_purchase_manager",1,1,1,1
"access_account_fiscalyear_partner_achpro","iller.account.fiscalyear.partner.achpro","account.model_account_fiscalyear","purchase.group_purchase_manager",1,1,1,1
"access_acount_invoice_partner_rh","iller.account.invoice.partner.rh","account.model_account_invoice","hr.group_hr_manager",1,1,1,1
"access_account_fiscalyear_partner_rh","iller.account.fiscalyear.partner.rh","account.model_account_fiscalyear","hr.group_hr_manager",1,1,1,1
"access_new_partner_compta","iller.new.partner.compta","base.model_res_partner","account.group_account_manager",1,1,1,1
"access_new_partner_distri","iller.new.partner.distri","base.model_res_partner","iller_groups.group_distri",1,1,1,1
"access_new_partner_achpro","iller.new.partner.achpro","base.model_res_partner","purchase.group_purchase_manager",1,1,1,1
"access_new_partner_rh","iller.new.partner.rh","base.model_res_partner","hr.group_hr_manager",1,1,1,1
"access_new_partner_address_compta","iller.new.partner.compta.address","base.model_res_partner_address","account.group_account_manager",1,1,1,1
"access_new_partner_address_distri","iller.new.partner.distri.address","base.model_res_partner_address","iller_groups.group_distri",1,1,1,1
"access_new_partner_address_achpro","iller.new.partner.achpro.address","base.model_res_partner_address","purchase.group_purchase_manager",1,1,1,1
"access_new_partner_address_rh","iller.new.partner.rh.address","base.model_res_partner_address","hr.group_hr_manager",1,1,1,1
