"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_iller_product_sale_order","iller.partner.sale.order","sale.model_sale_order","group_iller_product",1,0,0,0
"access_iller_product_sale_line","iller.partner.sale.line","sale.model_sale_order_line","group_iller_product",1,0,0,0
"access_iller_product_price_history","iller.product.price.history","model_product_price_history","group_iller_product",1,1,1,1
"access_iller_product_account_tax","iller.product.account.tax","account.model_account_tax","group_iller_product",1,0,0,0
"access_iller_product_product","iller.product.product","product.model_product_product","group_iller_product",1,1,1,1
"access_iller_product_template","iller.product.template","product.model_product_template","group_iller_product",1,1,1,1
"access_iller_product_account_journal","iller.product.account.journal","account.model_account_journal","group_iller_product",1,0,0,0
"access_iller_promo_bareme","iller.product.promo.bareme","model_product_pricelist_bareme","group_iller_tarif",1,1,1,1
"access_iller_product_bareme","iller.product.product.bareme2","model_product_pricelist_bareme","group_iller_product",1,0,0,0
"access_iller_promo_promo_configuration","iller.promo.promo.configuration","model_pricelist_promo_configuration","group_iller_tarif",1,1,1,1
"access_iller_product_promo_configuration","iller.product.promo.configuration","model_pricelist_promo_configuration","group_iller_product",1,0,0,0
"access_iller_tarif_nouveau_prix_achat","iller.tarif.nouveau.prix.achat","model_product_nouveau_prix_achat","group_iller_tarif",1,1,1,1
"access_iller_pricelist_promo","iller.tarif.pricelist.promo","model_product_pricelist_promo","group_iller_tarif",1,1,1,1
"access_iller_pricelist_promo_in","iller.tarif.pricelist.promo.in","model_product_pricelist_promo_in","group_iller_tarif",1,1,1,1
"access_iller_pricelist_promo_in2","iller.tarif.pricelist.promo.in2","model_product2_pricelist_promo_in","group_iller_tarif",1,1,1,1
"access_iller_tarifs_speciaux","iller.tarif.tarifs.speciaux","model_product_tarifs_speciaux","group_iller_tarif",1,1,1,1
"access_iller_tarif_special_client","iller.tarif.tarif.special.client","model_product_tarif_special_client","group_iller_tarif",1,1,1,1
"access_iller_tarif_special_client_wizard","iller.tarif.special.client.wizard","model_product_tarif_special_client_wizard","group_iller_tarif",1,1,1,1
"access_iller_pricelist_configure_tarif_special","iller.pricelist.configure.tarif.special","model_wizard_pricelist_configure_tarif_special_client","group_iller_tarif",1,1,1,1
"access_iller_wizard_export_tarif_hilton","iller.wizard.export.tarif.hilton","model_wizard_export_tarif_hilton","group_iller_tarif",1,1,1,1
"access_iller_wizard_export_tarif_commerciaux","iller.wizard.export.tarif.commerciaux","model_wizard_export_tarifs_commerciaux","group_iller_tarif",1,1,1,1
"access_iller_wizard_raz_prix_noel","iller.wizard.raz.prix.noel","model_wizard_raz_prix_noel","group_iller_tarif",1,1,1,1
"access_iller_wizard_raz_prix_noel_close","iller.wizard.raz.prix.noel.close","model_wizard_raz_prix_noel_close","group_iller_tarif",1,1,1,1
"access_iller_wizard_choose_category","iller.wizard.choose.category","model_wizard_choose_category","group_iller_tarif",1,1,1,1
"access_iller_wizard_modif_coeff","iller.wizard.modif.coeff","model_wizard_modif_coeff","group_iller_tarif",1,1,1,1
"access_iller_wizard_print_pricelist_cat","iller.wizard.print.pricelist.cat","model_wizard_print_pricelist_cat","group_iller_tarif",1,1,1,1
