"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
access_iller_sale_comment,iller.sale.comment,iller_sale.model_iller_sale_comment,,1,1,1,1
access_wizard_marges_articles,wizard.marges.articles,iller_sale.model_wizard_marges_articles,,1,1,1,1
access_wizard_ventes_representants,wizard.ventes.representants,iller_sale.model_wizard_ventes_representants,,1,1,1,1
access_wizard_export_journal_ventes,wizard.export.journal.ventes,iller_sale.model_wizard_export_journal_ventes,,1,1,1,1
access_wizard_commission_representant,wizard.commission.representant,iller_sale.model_wizard_commission_representant,,1,1,1,1
"access_iller_sale_comment","iller.sale.comment","model_iller_sale_comment","sale.group_sale_user",1,1,1,1
"access_iller_sale_comment_mgmt","iller.sale.comment.mgmt","model_iller_sale_comment","sale.group_sale_manager",1,1,1,1
"access_wizard_marges_articles","iller.wizard.marges.articles","model_wizard_marges_articles","sale.group_sale_user",1,0,0,0
"access_wizard_marges_articles_mgmt","iller.wizard.marges.articles.mgmt","model_wizard_marges_articles","sale.group_sale_manager",1,1,1,1
"access_wizard_ventes_representants","wizard.ventes.representants","model_wizard_ventes_representants","sale.group_sale_user",1,0,0,0
"access_wizard_ventes_representants_mgmt","wizard.ventes.representants.mgmt","model_wizard_ventes_representants","sale.group_sale_manager",1,1,1,1
"access_wizard_export_journal_ventes","wizard.export.journal.ventes","model_wizard_export_journal_ventes","sale.group_sale_user",1,0,0,0
"access_wizard_export_journal_ventes_mgmt","wizard.export.journal.ventes.mgmt","model_wizard_export_journal_ventes","sale.group_sale_manager",1,1,1,1
"access_wizard_commission_representant","wizard.commission.representant","model_wizard_commission_representant","sale.group_sale_user",1,0,0,0
"access_wizard_commission_representant_mgmt","wizard.commission.representant.mgmt","model_wizard_commission_representant","sale.group_sale_manager",1,1,1,1
"access_iller_sale_comment_compta","iller.sale.comment.compta","model_iller_sale_comment","account.group_account_manager",1,1,1,1
"access_wizard_marges_articles_compta","iller.wizard.marges.articles.compta","model_wizard_marges_articles","account.group_account_manager",1,1,1,1
"access_wizard_ventes_representants_compta","wizard.ventes.representants.compta","model_wizard_ventes_representants","account.group_account_manager",1,1,1,1
"access_wizard_export_journal_ventes_compta","wizard.export.journal.ventes.compta","model_wizard_export_journal_ventes","account.group_account_manager",1,1,1,1
"access_wizard_commission_representant_compta","wizard.commission.representant.compta","model_wizard_commission_representant","account.group_account_manager",1,1,1,1
"access_iller_sale_comment_distri","iller.sale.comment.distri","model_iller_sale_comment","iller_groups.group_distri",1,1,1,1
"access_wizard_marges_articles_distri","iller.wizard.marges.articles.distri","model_wizard_marges_articles","iller_groups.group_distri",1,1,1,1
"access_wizard_ventes_representants_distri","wizard.ventes.representants.distri","model_wizard_ventes_representants","iller_groups.group_distri",1,1,1,1
"access_wizard_export_journal_ventes_distri","wizard.export.journal.ventes.distri","model_wizard_export_journal_ventes","iller_groups.group_distri",1,1,1,1
"access_wizard_commission_representant_distri","wizard.commission.representant.distri","model_wizard_commission_representant","iller_groups.group_distri",1,1,1,1
"access_iller_sale_comment_achpro","iller.sale.comment.achpro","model_iller_sale_comment","purchase.group_purchase_manager",1,1,1,1
"access_wizard_marges_articles_achpro","iller.wizard.marges.articles.achpro","model_wizard_marges_articles","purchase.group_purchase_manager",1,1,1,1
"access_wizard_ventes_representants_achpro","wizard.ventes.representants.achpro","model_wizard_ventes_representants","purchase.group_purchase_manager",1,1,1,1
"access_wizard_export_journal_ventes_achpro","wizard.export.journal.ventes.achpro","model_wizard_export_journal_ventes","purchase.group_purchase_manager",1,1,1,1
"access_wizard_commission_representant_achpro","wizard.commission.representant.achpro","model_wizard_commission_representant","purchase.group_purchase_manager",1,1,1,1
"access_iller_sale_comment_rh","iller.sale.comment.rh","model_iller_sale_comment","hr.group_hr_manager",1,1,1,1
"access_wizard_marges_articles_rh","iller.wizard.marges.articles.rh","model_wizard_marges_articles","hr.group_hr_manager",1,1,1,1
"access_wizard_ventes_representants_rh","wizard.ventes.representants.rh","model_wizard_ventes_representants","hr.group_hr_manager",1,1,1,1
"access_wizard_export_journal_ventes_rh","wizard.export.journal.ventes.rh","model_wizard_export_journal_ventes","hr.group_hr_manager",1,1,1,1
"access_wizard_commission_representant_rh","wizard.commission.representant.rh","model_wizard_commission_representant","hr.group_hr_manager",1,1,1,1
